Date,historical,gold_garch,copper_garch,aluminum_garch,cocoa_garch,coffee_garch,cotton_garch,crude_oil_garch,natural_gas_garch
2015-01-05,,17.108086462439058,27.371775161894135,19.342143811691955,19.608100232009022,40.54612384003204,18.70584039800795,60.4124895809791,65.414470631759
2015-01-06,,17.2822614386729,26.92490271018427,19.093350339060265,19.431544642158155,41.70151111072276,19.344557451556422,63.390833664252725,65.65410723050557
2015-01-07,,17.3279345148633,25.791265108057026,18.35329640858703,19.593917284903384,42.50065690911924,19.25453115004797,63.71319739903572,63.45935577864684
2015-01-08,,17.17166101465477,24.755293540317705,18.287261808411095,19.381813026875907,41.62986585345749,18.991934345215963,59.40233393788156,61.779205006720844
2015-01-09,,16.920403915693807,23.836852944934297,19.50176763741974,20.235282121698322,40.900077241610724,18.714658504805694,54.95330373291747,59.814070026258015
2015-01-12,,16.7414055390488,23.090642965071495,18.921259919661814,20.067226359555328,40.4110704347261,18.461377028404875,51.207935572824326,57.35352596304001
2015-01-13,,16.857821613028523,22.645213414042747,18.28388317208048,19.95260712984804,39.98536957691446,19.030332781476147,55.25988654772525,60.43698424940661
2015-01-14,,16.60828280427611,25.03917749960914,17.760573223490166,19.721067854623147,39.189889954053214,18.86240617546364,51.25766566053615,62.6994849557937
2015-01-15,,16.362220292611518,30.584493276578335,17.696805755574744,19.489949875099857,38.71333802797818,19.650986235806048,56.7340989428145,74.51931787286584
2015-01-16,,17.29049213415874,30.34217615845253,18.524223733553562,19.31488588879554,38.3322901485952,19.52180535378654,59.23579936977411,72.19144394699515
2015-01-20,,17.202637233439425,29.52968891461981,19.777726106891688,19.35893329505896,38.81194662310554,19.279080792362212,61.957764769613476,69.24751390566294
2015-01-21,,17.289165352015534,28.70196367277664,18.901372138518468,19.202415303230914,39.86568199739281,20.594532388900006,63.79866143100027,81.42412930241628
2015-01-22,,17.027719406863763,27.360795327202418,18.938628590887316,20.147254279769804,39.4714918096942,20.287345895009878,61.17383376434905,81.19497384938977
2015-01-23,,16.82600474220113,26.241797197857952,18.230732734080167,20.49224655024162,38.76729372585128,20.016730892187248,59.44621694742135,80.96103643569138
2015-01-26,,16.65911606676305,26.925719494998503,19.92501563996296,20.73449579221186,38.279704531183356,19.879157168974665,55.78289609862589,81.13282182215121
2015-01-27,,16.635375730810342,26.315036783160192,22.075030177379134,20.56826112206584,37.55194599538094,20.83166016054788,52.00865008290267,79.47581733387631
2015-01-28,,16.568430357259494,26.859083734397288,20.87947450346859,20.329319440182587,38.54407159903094,20.50139976659814,49.977125534543596,77.64326446576224
2015-01-29,,16.368856891620506,25.71691724320132,19.85795830719128,20.282800672306863,37.802304090192216,20.45979495060039,51.75788536113671,76.6291853453864
2015-01-30,,17.37157633801679,25.94391903319275,20.132124354353998,20.255310703531613,39.61919763540928,20.1356407134993,48.02022764370135,77.50453340457825
